 #M_ecl   m_max
   6678.64600       134.896317    
   6807.37109       134.896317    
   6938.57764       138.038391    
   7072.31641       138.038391    
   7208.62939       138.038391    
   7347.56934       138.038391    
   7489.18750       138.038391    
   7633.53516       138.038391    
   7780.66504       138.038391    
   7930.63086       138.038391    
   8083.48682       138.038391    
   8239.28906       138.038391    
   8398.09863       141.253784    
   8559.96484       141.253784    
   8724.95117       141.253784    
   8893.11719       141.253784    
   9064.52441       141.253784    
   9239.23535       141.253784    
   9417.31348       141.253784    
   9598.82422       141.253784    
   9783.83301       141.253784    
   9972.40820       141.253784    
   10164.6172       141.253784    
   10360.5371       141.253784    
   10560.2227       141.253784    
   10763.7676       141.253784    
   10971.2236       144.543930    
   11182.6904       144.543930    
   11398.2217       144.543930    
   11617.9189       144.543930    
   11841.8379       144.543930    
   12070.0850       144.543930    
   12302.7324       144.543930    
   12539.8506       144.543930    
   12781.5518       144.543930    
   13027.8984       144.543930    
   13279.0068       144.543930    
   13534.9414       144.543930    
   13795.8232       144.543930    
   14061.7178       144.543930    
   14332.7539       144.543930    
   14608.9971       144.543930    
   14890.5811       144.543930    
   15177.5928       144.543930    
   15470.1191       144.543930    
   15768.3008       144.543930    
   16072.2129       144.543930    
   16382.0000       147.910858    
   16697.7402       147.910858    
   17019.5840       147.910858    
   17347.6113       147.910858    
   17681.9824       147.910858    
   18022.7969       147.910858    
   18370.1602       147.910858    
   18724.2402       147.910858    
   19085.1230       147.910858    
   19452.9824       147.910858    
   19827.9121       147.910858    
   20210.0879       147.910858    
   20599.6094       147.910858    
   20996.6602       147.910858    
   21401.3418       147.910858    
   21813.8457       147.910858    
   22234.3008       147.910858    
   22662.8359       147.910858    
   23099.6562       147.910858    
   23544.8691       147.910858    
   23998.6895       147.910858    
   24461.2285       147.910858    
   24932.7129       147.910858    
   25413.2539       147.910858    
   25903.0879       147.910858    
   26402.3613       147.910858    
   26911.2305       147.910858    
   27429.9355       147.910858    
   27958.6094       147.910858    
   28497.5020       147.910858    
