 #M_ecl   m_max
   175611.562       150.000000    
   178046.750       150.000000    
   180515.719       150.000000    
   183018.922       150.000000    
   185556.844       150.000000    
   188129.953       150.000000    
   190738.734       150.000000    
   193383.906       150.000000    
   196065.562       150.000000    
   198784.391       150.000000    
   201540.922       150.000000    
   204335.688       150.000000    
   207169.203       150.000000    
   210042.000       150.000000    
   212954.875       150.000000    
   215907.922       150.000000    
   218901.906       150.000000    
   221937.406       150.000000    
   225015.000       150.000000    
   228135.281       150.000000    
   231298.812       150.000000    
   234506.234       150.000000    
   237758.375       150.000000    
   241055.359       150.000000    
   244398.062       150.000000    
   247787.125       150.000000    
   251223.172       150.000000    
   254706.875       150.000000    
   258238.891       150.000000    
   261819.875       150.000000    
   265450.812       150.000000    
   269131.812       150.000000    
   272863.844       150.000000    
   276647.625       150.000000    
   280483.906       150.000000    
   284373.344       150.000000    
   288316.750       150.000000    
   292315.125       150.000000    
   296368.656       150.000000    
   300478.375       150.000000    
   304645.125       150.000000    
   308869.625       150.000000    
   313152.688       150.000000    
   317495.156       150.000000    
   321897.844       150.000000    
   326361.969       150.000000    
   330887.594       150.000000    
   335476.000       150.000000    
   340128.031       150.000000    
   344844.594       150.000000    
   349626.531       150.000000    
   354474.781       150.000000    
   359390.281       150.000000    
   364374.312       150.000000    
   369427.062       150.000000    
   374549.906       150.000000    
   379743.781       150.000000    
   385009.656       150.000000    
   390348.562       150.000000    
   395761.531       150.000000    
   401249.969       150.000000    
   406814.094       150.000000    
   412455.344       150.000000    
   418174.844       150.000000    
   423973.656       150.000000    
   429852.906       150.000000    
   435813.656       150.000000    
   441857.062       150.000000    
   447984.750       150.000000    
   454196.938       150.000000    
   460495.281       150.000000    
   466880.938       150.000000    
   473355.156       150.000000    
   479919.156       150.000000    
   486574.156       150.000000    
   493321.469       150.000000    
   500162.875       150.000000    
   507098.625       150.000000    
   514130.531       150.000000    
   521259.969       150.000000    
   528488.250       150.000000    
   535816.750       150.000000    
   543246.938       150.000000    
   550780.125       150.000000    
   558418.375       150.000000    
   566161.938       150.000000    
   574012.875       150.000000    
   581972.688       150.000000    
   590042.875       150.000000    
   598224.938       150.000000    
